,id,name,street_address,price,cuisine,rating,latitude,longitude,price_mid,cuisine_cat,duplicate
108,108,Ajisen Ramen - FEAST,"Jurong Point, 63 Jurong West Central 3 #03-38/38A (JP2)",$11 - $20,Japanese,4.5,1.338894,103.705622,15.5,24,0
109,109,Ajisen Ramen,"Hougang Mall, 90 Hougang Ave 10 #02-11/19",$11 - $20,Japanese,3.5,1.37243,103.893756,15.5,24,0
110,110,Ajisen Ramen,"IMM, 2 Jurong East St 21 #01-113/114",$11 - $20,Japanese,3.5,1.347118,103.728632,15.5,24,0
111,111,Ajisen Ramen - Rasapura Masters,"Marina Bay Sands, 2 Bayfront Avenue #B2-50 (The Shoppes)",$11 - $20,Japanese,3.5,1.283697,103.860723,15.5,24,0
112,112,Ajisen Ramen,"Sembawang Shopping Centre, 604 Sembawang Road, #02-29/30",$11 - $20,Japanese,3.5,1.441732,103.824813,15.5,24,0
113,113,Ajisen Ramen,"Compass Point, 1 Sengkang Square #02-15",$11 - $20,Japanese,3.5,1.392393,103.895331,15.5,24,0
114,114,Ajisen Ramen,"Tampines Mall, 4 Tampines Central 5 #04-19/20",$11 - $20,Japanese,3.5,1.352645,103.94473,15.5,24,0
115,115,Akari Japanese Dining &amp; Bar,"Marina Bay Financial Centre, 8A Marina Boulevard #01-02 (Ground Plaza)",$31 - $50,Japanese,3.5,1.279467,103.854504,40.5,24,0
116,116,Akashi Japanese Restaurant,"Orchard Parade Hotel, 1 Tanglin Road #01-01A",$31 - $50,Japanese,3.5,1.306552,103.827811,40.5,24,0
117,117,Akashi Japanese Restaurant,"VivoCity, 1 Harbourfront Walk #B2-28",$31 - $50,Japanese,3.5,1.263928,103.822229,40.5,24,0
118,118,Al-Azhar Eating Restaurant,11 Cheong Chin Nam Road,$0 - $9,"Indian, Malay",3.5,1.342535,103.775246,4.5,20,1
118,118,Al-Azhar Eating Restaurant,11 Cheong Chin Nam Road,$0 - $9,"Indian, Malay",3.5,1.342535,103.775246,4.5,9,1
119,119,AL Azmath Prata Stall,Blk 632 Ang Mo Kio Ave 4 #01-948,$0 - $9,Indian,3.5,1.380236,103.841285,4.5,20,0
121,121,Al Forno East Coast,400 East Coast Road,$21 - $30,Italian,4.0,1.308792,103.912215,25.5,19,0
122,122,Al-Mahayas Bryani Prata Hut,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-04",$0 - $9,Indian,3.5,1.37008,103.849523,4.5,20,0
123,123,Al Mahboob Rojak Restaurant,506 Tampines Central 1 #01-361,$0 - $9,Indian,3.5,1.356035,103.945913,4.5,20,0
124,124,Alex&#39;s Eating House,"Chye Sing Building, 87 Beach Road #01-01",$0 - $9,Cantonese/Hong Kong,3.5,1.297403,103.856646,4.5,6,1
124,124,Alex&#39;s Eating House,"Chye Sing Building, 87 Beach Road #01-01",$0 - $9,Cantonese/Hong Kong,3.5,1.297403,103.856646,4.5,7,1
125,125,Alfero Artisan Gelato,"Orchard Gateway, 277 Orchard Road #B2-06",$0 - $9,Italian,4.0,1.301085,103.838988,4.5,19,0
128,128,Alkaff Mansion Ristorante,10 Telok Blangah Green,$31 - $50,Italian,4.0,1.278867,103.813257,40.5,19,0
129,129,Alliance Seafood,"Newton Circus Food Centre, 500 Clemenceau Avenue North, #01-27",$21 - $30,Singaporean Chinese,4.5,1.312061,103.839529,25.5,15,0
130,130,Alma by Juan Amador,"Goodwood Park Hotel, 22 Scotts Road",$31 - $50,European,3.5,1.308678,103.834669,40.5,28,0
131,131,Alt. Pizza,"Suntec City Mall, East Wing, 3 Temasek Boulevard #01-602/603",$21 - $30,Italian,3.5,1.293422,103.856858,25.5,19,0
132,132,AmaSoy,"Jurong Point, 63 Jurong West Central 3 #03-42/47 (JP2)",$0 - $9,Japanese,4.0,1.338894,103.705622,4.5,24,0
133,133,AmaSoy,"ION Orchard, 2 Orchard Turn #B4-64",$0 - $9,"Japanese, Singaporean",3.0,1.304082,103.832016,4.5,24,1
133,133,AmaSoy,"ION Orchard, 2 Orchard Turn #B4-64",$0 - $9,"Japanese, Singaporean",3.0,1.304082,103.832016,4.5,4,1
134,134,Amazing Hokkaido,"Riverside View, 30 Robertson Quay, #01-16",$21 - $30,Japanese,3.5,1.291277,103.841351,25.5,24,0
135,135,Amazonia Bistro,"Great World City, 1 Kim Seng Promenade #03-08",$0 - $9,American,4.0,1.293902,103.831787,4.5,16,0
136,136,Ambush,"Junction 8 Shopping Centre, 9 Bishan Place #02-19/20/27",$11 - $20,European,3.5,1.350045,103.848304,15.5,28,0
137,137,Ambush,"Plaza Singapura, 68 Orchard Road #04-64/66",$11 - $20,European,3.5,1.300005,103.844626,15.5,28,0
138,138,Ambush,"Jem, 50 Jurong Gateway Road #04-13",$11 - $20,European,3.5,1.333169,103.743536,15.5,28,0
139,139,Ambush,"Ngee Ann City, 391 Orchard Road #B2 (Takashimaya Food Hall)",$11 - $20,European,4.0,1.302664,103.834623,15.5,28,0
140,140,Amici Authentic Italian Restaurant,"Holland Village, 275 Holland Ave",$21 - $30,"Italian, European",3.5,1.311803,103.796177,25.5,19,1
140,140,Amici Authentic Italian Restaurant,"Holland Village, 275 Holland Ave",$21 - $30,"Italian, European",3.5,1.311803,103.796177,25.5,28,1
143,143,An Australian Concept - Tasty Foodcourt,"Tanglin Mall, 163 Tanglin Road #B1-17",$0 - $9,Australian / New Zealand,3.5,1.304787,103.82383,4.5,29,1
143,143,An Australian Concept - Tasty Foodcourt,"Tanglin Mall, 163 Tanglin Road #B1-17",$0 - $9,Australian / New Zealand,3.5,1.304787,103.82383,4.5,30,1
144,144,Ananas Cafe,"Ang Mo Kio MRT Station, 2450 Ang Mo Kio Avenue 8",$0 - $9,Singaporean,3.5,1.369556,103.849635,4.5,4,0
149,149,Ananas Cafe,"V Hotel, 70 Jelicoe Road",$0 - $9,Singaporean,3.5,1.298993,103.850795,4.5,4,0
153,153,And Why,31 Bali Lane,$11 - $20,American,3.5,1.301293,103.858407,15.5,16,0
155,155,Andersen’s of Denmark,"Marina Square, 6 Raffles Boulevard #02-207A",$0 - $9,American,4.0,1.291914,103.856261,4.5,16,0
157,157,Andersen’s of Denmark,"IMM, 2 Jurong East St 21 #01-12A",$0 - $9,American,4.0,1.347118,103.728632,4.5,16,0
158,158,Aneka Rasa Chicken Rice,"Kovan Hougang Market &amp; Food Centre, 209 Hougang St 21 #01-25",$0 - $9,Malay,3.5,1.359155,103.885976,4.5,9,0
161,161,Angel &amp; Devil,22 Keong Saik Road,$31 - $50,"European, Asian Variety",3.5,1.280047,103.841665,40.5,28,1
161,161,Angel &amp; Devil,22 Keong Saik Road,$31 - $50,"European, Asian Variety",3.5,1.280047,103.841665,40.5,0,1
162,162,Anjappar,"Jurong Point, 63 Jurong West Central 3 #03-35A (JP2)",$11 - $20,Indian,3.5,1.338894,103.705622,15.5,20,0
163,163,Annalakshmi,"Chinatown Point, Podium A, 133 New Bridge Road, #B1-02  ",$31 - $50,Indian,3.5,1.285182,103.844621,40.5,20,0
164,164,Antoinette,30 Penhas Road,$11 - $20,French,4.0,1.309729,103.86222,15.5,18,0
165,165,Aoki Restaurant,"Shaw Centre, 1 Scotts Road #01-17",$81 - $150,Japanese,4.5,1.306359,103.831646,115.5,24,0
166,166,AquaMarine,"Marina Mandarin Singapore, 6 Raffles Boulevard Level 4",$31 - $50,Multi-Cuisine,4.0,1.291914,103.856261,40.5,1,0
167,167,Arbite,66A Serangoon Garden Way,$21 - $30,European,3.5,1.364082,103.865609,25.5,28,0
169,169,Arirang Korean Restaurant,"Liang Seah St, 1 Liang Seah St #01-07",$11 - $20,Korean,2.5,1.297911,103.856337,15.5,2,0
172,172,Arossa Wine &amp; Grill,"Scotts Square, 6 Scotts Rd #02-01",$31 - $50,Italian,4.0,1.305834,103.832933,40.5,19,0
173,173,Aroy Dee Thai Caf&#233;,262 Middle Road,$0 - $9,Thai,3.5,1.301672,103.850433,4.5,12,0
174,174,Aroy Dee Thai Food,"Redhill Food Centre, Blk 85 Redhill Lane,  #01-25",$0 - $9,Singaporean,3.5,1.287312,103.818335,4.5,4,0
175,175,Aroy Mak Mookata,510 MacPherson Road,$0 - $9,Thai,3.5,1.332242,103.883913,4.5,12,0
176,176,Aroy Mootaka Thai BBQ Steamboat,Blk 1008A Toa Payoh North,$0 - $9,Thai,3.0,1.343274,103.846583,4.5,12,0
179,179,Arteastiq DePatio,"Plaza Singapura, 68 Orchard Road, #03-70/72",$51 - $80,English,4.0,1.300005,103.844626,65.5,31,0
180,180,Arteastiq,"Mandarin Gallery, 333A Orchard Road, #04-14/15",$51 - $80,"Asian Variety, Fusion",4.0,1.30203,103.836642,65.5,0,1
180,180,Arteastiq,"Mandarin Gallery, 333A Orchard Road, #04-14/15",$51 - $80,"Asian Variety, Fusion",4.0,1.30203,103.836642,65.5,21,1
181,181,Arteastiq Tea Bone China,"Millenia Walk, 9 Raffles Boulevard #02-19/20",$21 - $30,"Cantonese/Hong Kong, Shanghainese",3.5,1.292083,103.859414,25.5,6,1
181,181,Arteastiq Tea Bone China,"Millenia Walk, 9 Raffles Boulevard #02-19/20",$21 - $30,"Cantonese/Hong Kong, Shanghainese",3.5,1.292083,103.859414,25.5,7,1
181,181,Arteastiq Tea Bone China,"Millenia Walk, 9 Raffles Boulevard #02-19/20",$21 - $30,"Cantonese/Hong Kong, Shanghainese",3.5,1.292083,103.859414,25.5,32,1
182,182,Artisan Boulangerie Co.,"Asia Square Tower 2, 12 Marina View #01-02",$11 - $20,French,3.5,1.278117,103.850773,15.5,18,0
183,183,Artistry,17 Jalan Pinang,$11 - $20,English,4.0,1.302891,103.858189,15.5,31,0
184,184,AS Indian Classic Cuisine,"Lau Pa Sat Festival Market, 18 Raffles Quay",$0 - $9,Indian,3.5,1.280259,103.850614,4.5,20,0
185,185,As-Shifaa Caf&#233;,"Lucky Plaza, 304 Orchard Road #06-52",$0 - $9,Malay,4.5,1.30459,103.83407,4.5,9,0
186,186,Asanoya Bakery,15 Queen St #01-03,$0 - $9,Japanese,4.0,1.298038,103.852678,4.5,24,0
187,187,Ash &amp; Elm,"InterContinental Singapore, 80 Middle Road Level 1",$31 - $50,European,3.5,1.298437,103.854991,40.5,28,0
188,188,Asian Cuisine,"Entrepreneur Business Centre, 18 Kaki Bukit Road 3, #01-15",$21 - $30,Singaporean Chinese,3.5,1.336934,103.902588,25.5,15,0
189,189,Asian Market Caf&#233;,"Fairmont Singapore, 80 Bras Basah Road Level 2",$31 - $50,Asian Variety,4.0,1.294082,103.853857,40.5,0,0
191,191,Aster Pau,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-38",$0 - $9,Cantonese/Hong Kong,2.5,1.36926,103.849189,4.5,6,1
191,191,Aster Pau,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-38",$0 - $9,Cantonese/Hong Kong,2.5,1.36926,103.849189,4.5,7,1
203,203,Atlantic Mix Grill,"Suntec City Mall, 3 Temasek Boulevard #03-006",$11 - $20,Middle Eastern/Mediterranean,3.5,1.293422,103.856858,15.5,10,1
203,203,Atlantic Mix Grill,"Suntec City Mall, 3 Temasek Boulevard #03-006",$11 - $20,Middle Eastern/Mediterranean,3.5,1.293422,103.856858,15.5,11,1
205,205,Atlas Coffeehouse,6 Duke&#39;s Road,$11 - $20,English,4.0,1.281102,103.834189,15.5,31,0
206,206,atout,40C Harding Road,$81 - $150,"French, European",3.5,1.30585,103.813498,115.5,18,1
206,206,atout,40C Harding Road,$81 - $150,"French, European",3.5,1.30585,103.813498,115.5,28,1
207,207,Attica,"Clarke Quay, 3A River Valley Road #01-03",$31 - $50,Multi-Cuisine,3.5,1.29003,103.844764,40.5,1,0
208,208,Auntie Anne&#39;s,"Great World City, 1 Kim Seng Promenade #01-K2",$0 - $9,American,4.0,1.293902,103.831787,4.5,16,0
